source,target,version,fromRole,toRole
k9.Account,k9.AccountStats,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.Identity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.NotificationSetting,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.Account,k9.crypto.CryptoProvider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.Account,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.Account,k9.mail.Store,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.Account,k9.view.ColorChip,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.EmailAddressAdapter,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.K9,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Information Holder
k9.Preferences,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.Preferences,k9.preferences.Storage,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.SearchAccount,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.SearchAccount,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.SearchAccount,k9.SearchSpecification,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.SearchAccount,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.SearchSpecification,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.AccountStats,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.SearchAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.Accounts,k9.activity.ActivityListener,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.activity.Accounts,k9.activity.K9ListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Interfacer
k9.activity.Accounts,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.ActivityListener,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.ActivityListener,k9.controller.MessagingListener,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.activity.ChooseAccount,k9.activity.K9ExpandableListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.ChooseFolder,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.ChooseFolder,k9.activity.FolderListFilter,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.ChooseFolder,k9.activity.K9ListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.ChooseFolder,k9.activity.MessageReference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.ChooseFolder,k9.controller.MessagingListener,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.ChooseIdentity,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.ChooseIdentity,k9.Identity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.ChooseIdentity,k9.activity.K9ListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.ColorPickerDialog,k9.view.ColorPickerBox,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.EditIdentity,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.EditIdentity,k9.Identity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.EditIdentity,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.FolderInfoHolder,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.activity.FolderInfoHolder,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.activity.FolderList,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.FolderList,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.FolderList,k9.activity.FolderInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.FolderList,k9.activity.K9ListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.FolderList,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.LauncherShortcuts,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.LauncherShortcuts,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.LauncherShortcuts,k9.activity.K9ListActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.ManageIdentities,k9.activity.ChooseIdentity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.MessageCompose,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.EmailAddressAdapter,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageCompose,k9.Identity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.activity.InsertableHtmlContent,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.MessageCompose,k9.activity.MessageReference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageCompose,k9.crypto.PgpData,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageCompose,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Structurer
k9.activity.MessageCompose,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageCompose,k9.mail.internet.MimeMessage,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.mail.internet.MimeMultipart,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Structurer
k9.activity.MessageCompose,k9.mail.internet.TextBody,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageCompose,k9.view.MessageWebView,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.MessageInfoHolder,k9.activity.FolderInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.activity.MessageInfoHolder,k9.helper.MessageHelper,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.activity.MessageList,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageList,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageList,k9.SearchSpecification,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageList,k9.activity.FolderInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageList,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.MessageList,k9.activity.MessageInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageList,k9.controller.MessagingController,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Controller
k9.activity.MessageList,k9.helper.MessageHelper,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageList,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageList,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Structurer
k9.activity.MessageList,k9.mail.store.StorageManager,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageView,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageView,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.MessageView,k9.activity.MessageReference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageView,k9.controller.MessagingController,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Controller
k9.activity.MessageView,k9.crypto.PgpData,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageView,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.MessageView,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Structurer
k9.activity.MessageView,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageView,k9.mail.store.StorageManager,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.MessageView,k9.view.AccessibleWebView,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.MessageView,k9.view.MessageHeader,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.MessageView,k9.view.MessageWebView,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.MessageView,k9.view.ToggleScrollView,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.activity.Search,k9.activity.MessageList,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Interfacer
k9.activity.SearchModifier,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.activity.setup.AccountSettings,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSettings,k9.activity.K9PreferenceActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupAccountType,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupAccountType,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupBasics,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.activity.setup.AccountSetupBasics,k9.EmailAddressValidator,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.activity.setup.AccountSetupBasics,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.activity.setup.AccountSetupBasics,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Coordinator
k9.activity.setup.AccountSetupCheckSettings,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupCheckSettings,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupComposition,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupComposition,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupIncoming,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupIncoming,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupNames,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupNames,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupOptions,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupOptions,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.AccountSetupOutgoing,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.AccountSetupOutgoing,k9.activity.K9Activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.FolderSettings,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Information Holder
k9.activity.setup.FolderSettings,k9.activity.K9PreferenceActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.FontSizeSettings,k9.activity.K9PreferenceActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.Prefs,k9.activity.K9PreferenceActivity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Coordinator
k9.activity.setup.Prefs,k9.preferences.CheckBoxListPreference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Service Provider
k9.activity.setup.Prefs,k9.preferences.TimePickerPreference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Interfacer,Interfacer
k9.controller.MessageDateComparator,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.controller.MessageRemovalListener,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.controller.MessageRetrievalListener,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.controller.MessagingController,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Information Holder
k9.controller.MessagingController,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Structurer
k9.controller.MessagingController,k9.SearchSpecification,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Service Provider
k9.controller.MessagingController,k9.controller.MessagingListener,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Service Provider
k9.controller.MessagingController,k9.mail.FetchProfile,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Structurer
k9.controller.MessagingController,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Information Holder
k9.controller.MessagingController,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Structurer
k9.controller.MessagingController,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Structurer
k9.controller.MessagingController,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Service Provider
k9.controller.MessagingController,k9.mail.Pusher,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Controller,Service Provider
k9.controller.MessagingControllerPushReceiver,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Information Holder
k9.controller.MessagingControllerPushReceiver,k9.controller.MessagingController,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Controller
k9.controller.MessagingControllerPushReceiver,k9.helper.power.TracingPowerManager,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Service Provider
k9.controller.MessagingControllerPushReceiver,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Structurer
k9.controller.MessagingControllerPushReceiver,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Structurer
k9.controller.MessagingControllerPushReceiver,k9.mail.PushReceiver,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Service Provider
k9.controller.MessagingListener,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.controller.MessagingListener,k9.AccountStats,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.controller.MessagingListener,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.controller.MessagingListener,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.controller.MessagingListener,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.controller.MessagingListener,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.crypto.Apg,k9.crypto.CryptoProvider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.crypto.Apg,k9.crypto.PgpData,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.crypto.Apg,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.crypto.CryptoProvider,k9.crypto.PgpData,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.crypto.CryptoProvider,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.crypto.None,k9.crypto.CryptoProvider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.crypto.None,k9.crypto.PgpData,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.crypto.None,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.helper.AutoSyncHelper,k9.helper.IAutoSync,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.helper.AutoSyncSdk3,k9.helper.IAutoSync,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.helper.AutoSyncSdk4,k9.helper.IAutoSync,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.helper.AutoSyncSdk5,k9.helper.IAutoSync,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.helper.Contacts,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.helper.ContactsSdk3_4,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.helper.ContactsSdk3_4,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.helper.ContactsSdk5,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.helper.ContactsSdk5,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.helper.ContactsSdk5p,k9.helper.ContactsSdk5,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.helper.MessageHelper,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.helper.MessageHelper,k9.activity.FolderInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.helper.MessageHelper,k9.activity.MessageInfoHolder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.helper.MessageHelper,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.mail.Address,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.mail.AuthenticationFailedException,k9.mail.MessagingException,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.mail.BodyPart,k9.mail.Multipart,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.mail.BodyPart,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.mail.CertificateValidationException,k9.mail.MessagingException,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.mail.Folder,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.mail.Folder,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Folder,k9.controller.MessageRetrievalListener,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Folder,k9.mail.FetchProfile,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Folder,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.mail.Folder,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Folder,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Message,k9.activity.MessageReference,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Message,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Message,k9.mail.Body,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Message,k9.mail.Flag,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.mail.Message,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Message,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Multipart,k9.mail.Body,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Multipart,k9.mail.BodyPart,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.mail.Multipart,k9.mail.Part,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
k9.mail.Part,k9.mail.Body,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.mail.PushReceiver,k9.helper.power.TracingPowerManager,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Service Provider
k9.mail.PushReceiver,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.mail.PushReceiver,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Structurer
k9.mail.Store,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.mail.Store,k9.mail.Folder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Store,k9.mail.Message,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.mail.Store,k9.mail.PushReceiver,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Service Provider
